Post Type,Month,Year,Wholesaler,Bev. Type,Product Code,Combo/Reg,Brand Reg,TTB ID,Brand Name,Product,Agent/Owner,Source of Info,Distributor-Wholesaler Serial #,Size,Unit,# of Bottles,Bottles per Sleeve,Age/Vintage,Alc %,Proof,Price per Bottle,Price per Case,NYC bottle,NYC case,Full Case Purchase,Split Case Charge,FOB,NYS Supplier's Serial #,NYS Suppliers Product Code,Column 31,Column 32,Limited Avail.,Allocation,Allocation Description,NYS Product,Column 37,Discount Quantity,Discount Unit,Discount Amount,Discount Type,Discount Quantity,Discount Unit,Discount Amount,Discount Type,Discount Quantity,Discount Unit,Discount Amount,Discount Type,Discount Quantity,Discount Unit,Discount Amount,Discount Type,Discount Quantity,Discount Unit,Discount Amount,Discount Type,Discount Quantity,Discount Unit,Discount Amount,Discount Type,,,,,
WW,5,2018,2188817,TW,APW-SKHIK750-16,R,P,17289001000996,Shilda,Wine,A,,N,750,ml,12,,VV,B,B,7.00,84.00,,,N,,,,APW-SKHIK750-16,,,,,,,,40,C,6,$,,,,,,,,,,,,,,,,,,,,,,,,,
WW,5,2018,2188817,TR,APW-SMUKU750-15,R,P,17270001000529,Shilda,Wine,A,,N,750,ml,12,,VV,B,B,8.00,96.00,,,N,,,,APW-SMUKU750-15,,,,,,,,40,C,6,$,,,,,,,,,,,,,,,,,,,,,,,,,
WW,5,2018,2188817,TW,APW-SOSAP750-15,R,P,17270001000542,Shilda,Wine,A,,N,750,ml,12,,VV,B,B,8.50,102.00,,,N,,,,APW-SOSAP750-15,,,,,,,,40,C,6,$,,,,,,,,,,,,,,,,,,,,,,,,,
WW,5,2018,2188817,DP,APW-SSIN750-16,R,P,17270001000516,Shilda,Wine,A,,N,750,ml,12,,VV,B,B,6.50,78.00,,,N,,,,APW-SSIN750-16,,,,,,,,40,C,6,$,,,,,,,,,,,,,,,,,,,,,,,,,
WW,5,2018,2188817,TW,APW-TAVRED750-15,R,P,17267001000101,Tbilvino,Wine,A,,N,750,ml,12,,VV,B,B,6.50,78.00,,,N,,,,APW-TAVRED750-15,,,,,,,,40,C,6,$,,,,,,,,,,,,,,,,,,,,,,,,,
WW,5,2018,2188817,TR,APW-TBALAZ-15,R,P,17071001000122,Tbilvino,Wine,A,,N,750,ml,12,,VV,B,B,7.00,84.00,,,N,,,,APW-TBALAZ-15,,,,,,,,40,C,6,$,,,,,,,,,,,,,,,,,,,,,,,,,
WW,5,2018,2188817,TR,APW-TBNAPAR-14,R,P,17071001000117,Tbilvino,Wine,A,,N,750,ml,12,,VV,B,B,8.00,96.00,,,N,,,,APW-TBNAPAR-14,,,,,,,,40,C,6,$,,,,,,,,,,,,,,,,,,,,,,,,,
WW,5,2018,2188817,TW,APW-TR750-14,R,P,15182001000081,Tbilvino,Wine,A,,N,750,ml,12,,VV,B,B,6.50,78.00,,,N,,,,APW-TR750-14,,,,,,,,5,C,4,$,,,,,,,,,,,,,,,,,,,,,,,,,
WW,5,2018,2188817,TR,APW-TRKAT750-16,R,P,17267001000105,Tbilvino,Wine,A,,N,750,ml,12,,VV,B,B,6.50,78.00,,,N,,,,APW-TRKAT750-16,,,,,,,,40,C,6,$,,,,,,,,,,,,,,,,,,,,,,,,,
WW,5,2018,2188817,TR,APW-TSACR750-15,R,P,15182001000077,Tbilvino,Wine,A,,N,750,ml,12,,VV,B,B,6.50,78.00,,,N,,,,APW-TSACR750-15,,,,,,,,5,C,4,$,,,,,,,,,,,,,,,,,,,,,,,,,
