"""Item Code"",""ItemStatus"",""Description"",""Size"",""Age"",""Proof"",""Bottles Per Case"",""Unit Price"",""Effective Date"""
"""0301B"",,""SEAGRAMS V.O. GOLD CANADIAN WHISKEY"",""750 ML"",""8 YRS"",80,12,17.95,08/01/2020"
"""0302B"",,""BLACK VELVET TRAVELER"",""750 ML"",""38 MOS"",80,12,9.95,08/01/2020"
"""0304B"",,""CANADIAN CLUB"",""750 ML"",""6 YRS"",80,12,10.95,08/01/2020"
"""0304H"",,""CANADIAN CLUB"",""1.75 L"",""6 YRS"",80,6,24.95,08/01/2020"
"""0305B"",,""CANADIAN MIST"",""750 ML"",,80,12,11.95,08/01/2020"
"""0305E"",,""CANADIAN MIST"",""375 ML"",,80,24,6.95,08/01/2020"
"""0305H"",,""CANADIAN MIST"",""1.75 L"",,80,6,22.95,08/01/2020"
"""0306B"",,""SEAGRAMS V O"",""750 ML"",,80,12,15.95,08/01/2020"
"""0306E"",,""SEAGRAMS V O"",""375 ML"",,80,24,8.95,08/01/2020"
"""0306H"",,""SEAGRAMS V O"",""1.75 L"",,80,6,29.95,08/01/2020"
"""0308B"",,""MACNAUGHTONS"",""750 ML"",""4 YRS"",80,12,9.95,08/01/2020"
"""0308H"",,""MACNAUGHTONS"",""1.75 L"",""4 YRS"",80,6,21.95,08/01/2020"
"""0309B"",,""POTTERS CROWN"",""750 ML"",""4 YRS"",80,12,8.95,08/01/2020"
"""0309E"",,""POTTERS CROWN"",""375 ML"",""4 YRS"",80,24,4.95,08/01/2020"
"""0309H"",,""POTTERS CROWN"",""1.75 L"",""4 YRS"",80,6,16.95,08/01/2020"
"""0310H"",,""HARWOOD CANADIAN"",""1.75 L"",""3 YRS"",80,6,16.45,08/01/2020"
"""0311A"",,""SEAGRAM'S CROWN ROYAL"",""LITER"",,80,12,29.95,08/01/2020"
"""0311B"",,""SEAGRAM'S CROWN ROYAL"",""750 ML"",,80,12,27.95,08/01/2020"
"""0311D"",,""SEAGRAM'S CROWN ROYAL"",""200 ML"",,80,44,8.95,08/01/2020"
"""0311E"",,""SEAGRAM'S CROWN ROYAL"",""375 ML"",,80,24,14.95,08/01/2020"
"""0311F"",,""SEAGRAM'S CROWN ROYAL"",""50 ML"",,80,60,2.50,08/01/2020"
"""0311H"",,""SEAGRAM'S CROWN ROYAL"",""1.75 L"",,80,6,51.95,08/01/2020"
"""0312B"",,""CANADIAN RICH AND RARE"",""750 ML"",,80,12,8.95,08/01/2020"
"""0313B"",,""BLACK VELVET"",""750 ML"",,80,12,9.95,08/01/2020"
"""0313D"",,""BLACK VELVET"",""200 ML"",,80,48,4.25,08/01/2020"
"""0313E"",,""BLACK VELVET"",""375 ML"",,80,24,6.45,08/01/2020"
"""0313F"",,""BLACK VELVET"",""50 ML"",,80,120,1.50,08/01/2020"
"""0313H"",,""BLACK VELVET"",""1.75 L"",,80,6,19.95,08/01/2020"
"""0314B"",,""CANADIAN RICH AND RARE"",""750 ML"",,80,12,7.95,08/01/2020"
"""0314E"",,""CANADIAN RICH AND RARE"",""375 ML"",,80,24,4.95,08/01/2020"
"""0314H"",,""CANADIAN RICH AND RARE"",""1.75 L"",,80,6,19.95,08/01/2020"
"""0316B"",,""DL FRANKLIN (OREGON)"",""750 ML"",,80,12,15.95,08/01/2020"
"""0316F"",,""DL FRANKLIN (OREGON)"",""50 ML"",,80,49,4.00,08/01/2020"
"""0318B"",,""LORD CALVERT"",""750 ML"",""3 YRS"",80,12,8.95,08/01/2020"
"""0318H"",,""LORD CALVERT"",""1.75 L"",""3 YRS"",80,6,19.95,08/01/2020"
"""0319H"",,""WINDSOR CANADIAN BLENDED CANADIAN WHISKY"",""1.75 L"",,80,6,16.95,08/01/2020"
"""0321A"",,""PENDLETON"",""LITER"",,80,6,30.95,08/01/2020"
"""0321B"",,""PENDLETON"",""750 ML"",,80,12,28.95,08/01/2020"
"""0321E"",,""PENDLETON"",""375 ML"",,80,12,14.45,08/01/2020"
"""0321F"",,""PENDLETON"",""50 ML"",,80,120,2.00,08/01/2020"
"""0321H"",,""PENDLETON"",""1.75 L"",,80,6,49.95,08/01/2020"
"""0322B"",,""CANADIAN CLUB RESERVE"",""750 ML"",""10 YRS"",80,12,16.95,08/01/2020"
"""0323B"",,""MONARCH CANADIAN"",""750 ML"",,80,12,8.95,08/01/2020"
"""0323E"",,""MONARCH CANADIAN"",""375 ML"",,80,24,5.95,08/01/2020"
"""0323H"",,""MONARCH CANADIAN"",""1.75 L"",,80,6,16.95,08/01/2020"
"""0324H"",,""WESTERN CANADIAN"",""1.75 L"",""4 YRS"",80,6,16.95,08/01/2020"
"""0326B"",,""CANADIAN LTD"",""750 ML"",,80,12,7.95,08/01/2020"
"""0326H"",,""CANADIAN LTD"",""1.75 L"",,80,6,16.95,08/01/2020"
"""0327B"",,""CANADIAN HUNTER"",""750 ML"",,80,12,9.95,08/01/2020"
"""0327H"",,""CANADIAN HUNTER"",""1.75 L"",,80,6,16.95,08/01/2020"
"""0328B"",,""CANADIAN MIST"",""750 ML"",,80,12,11.95,08/01/2020"
"""0333B"",""@"",""CANNON BEACH IL KEYOTE"",""750 ML"",,80,12,50.00,08/01/2020"
"""0334B"",,""CANADIAN CLUB CLASSIC 12 YEAR"",""750 ML"",""12 YRS"",80,12,21.95,08/01/2020"
"""0336B"",,""DR. MCGILLICUDDY'S APPLE PIE"",""750 ML"",,42,12,14.95,08/01/2020"
"""0337B"",,""GLENFIDDICH ANCIENT RESERVE SINGLE MALT"",""750 ML"",""18 YRS"",86,6,119.95,08/01/2020"
"""0338B"",,""LAUDERS SCOTCH"",""750 ML"",,80,12,10.75,08/01/2020"
"""0338E"",,""LAUDERS SCOTCH"",""375 ML"",,80,24,6.25,08/01/2020"
"""0338H"",,""LAUDERS SCOTCH"",""1.75 L"",,80,6,20.95,08/01/2020"
"""0339H"",,""NORTHERN LIGHT CANADIAN WHISKEY"",""1.75 L"",""3 YRS"",80,6,15.95,08/01/2020"
"""0341B"",,""POTTERS SCOTCH"",""750 ML"",""4 YRS"",80,12,10.95,08/01/2020"
"""0341H"",,""POTTERS SCOTCH"",""1.75 L"",""4 YRS"",80,6,21.95,08/01/2020"
"""0344B"",,""MONARCH CANADIAN LT. WGT."",""750 ML"",,80,12,8.45,08/01/2020"
"""0345B"",,""BLACK VELVET RESERVE PREMIUM SIPPING"",""750 ML"",""8 YRS"",80,12,11.95,08/01/2020"
"""0345H"",,""BLACK VELVET RESERVE PREMIUM SIPPING"",""1.75 L"",""8 YRS"",80,6,25.95,08/01/2020"
"""0346B"",,""CUTTY SARK"",""750 ML"",,86,12,17.95,08/01/2020"
"""0346E"",,""CUTTY SARK"",""375 ML"",,86,12,12.95,08/01/2020"
"""0346H"",,""CUTTY SARK"",""1.75 L"",,86,6,39.95,08/01/2020"
"""0350B"",,""OLD SMUGGLER"",""750 ML"",,80,12,11.45,08/01/2020"
"""0350H"",,""OLD SMUGGLER"",""1.75 L"",,80,6,22.95,08/01/2020"
"""0351B"",,""TEACHERS HIGHLAND CREAM"",""750 ML"",,86,12,19.95,08/01/2020"
"""0352B"",,""DEWAR'S WHITE LABEL"",""750 ML"",,80,12,26.95,08/01/2020"
"""0352H"",,""DEWAR'S WHITE LABEL"",""1.75 L"",,80,6,44.95,08/01/2020"
"""0354B"",,""DUGGAN'S DEW O'KIRKINTILLOCH"",""750 ML"",,87,12,14.95,08/01/2020"
"""0356A"",,""JOHNNIE WALKER RED LABEL"",""LITER"",,80,12,28.95,08/01/2020"
"""0356B"",,""JOHNNIE WALKER RED LABEL"",""750 ML"",,80,12,26.95,08/01/2020"
"""0356E"",,""JOHNNIE WALKER RED LABEL"",""375 ML"",,80,24,14.95,08/01/2020"
"""0356H"",,""JOHNNIE WALKER RED LABEL"",""1.75 L"",,80,6,46.95,08/01/2020"
"""0357B"",,""JOHNNIE WALKER BLACK"",""750 ML"",""12 YRS"",80,12,36.95,08/01/2020"
"""0357E"",,""JOHNNIE WALKER BLACK"",""375 ML"",""12 YRS"",80,24,21.95,08/01/2020"
"""0357H"",,""JOHNNIE WALKER BLACK"",""1.75 L"",""12 YRS"",80,6,69.95,08/01/2020"
"""0358B"",,""GLENFARCLAS 12 YEAR SCOTCH"",""750 ML"",""12 YRS"",86,6,49.95,08/01/2020"
"""0360B"",,""BALLANTINE'S (SQUARE BOTTLE)"",""750 ML"",,80,12,19.95,08/01/2020"
"""0360H"",,""BALLANTINE'S (SQUARE BOTTLE)"",""1.75 L"",,80,6,39.95,08/01/2020"
"""0362H"",,""HOUSE OF STUART"",""1.75 L"",""36 MOS"",80,6,20.95,08/01/2020"
"""0363B"",,""HAIG & HAIG PINCH"",""750 ML"",""15 YRS"",86,12,39.95,08/01/2020"
"""0365B"",,""GRANT'S BLENDED SCOTCH"",""750 ML"",,80,12,18.45,08/01/2020"
"""0368B"",,""THE FAMOUS GROUSE"",""750 ML"",,80,12,24.95,08/01/2020"
"""0368H"",,""THE FAMOUS GROUSE"",""1.75 L"",,80,6,49.95,08/01/2020"
"""0370B"",,""CLAN MACGREGOR SCOTCH"",""750 ML"",,80,12,12.95,08/01/2020"
"""0370H"",,""CLAN MACGREGOR SCOTCH"",""1.75 L"",,80,6,23.95,08/01/2020"
"""0371B"",,""GLENLIVET 18 YEAR"",""750 ML"",""18 YRS"",86,6,129.95,08/01/2020"
"""0372B"",,""J & B RARE SCOTCH"",""750 ML"",,86,12,19.95,08/01/2020"
"""0372F"",,""J & B RARE SCOTCH"",""50 ML"",,86,120,3.00,08/01/2020"
"""0372H"",,""J & B RARE SCOTCH"",""1.75 L"",,86,6,37.95,08/01/2020"
"""0373B"",,""ASTRAL BLANCO TEQUILA"",""750 ML"",,92,6,29.95,08/01/2020"
"""0375B"",,""SMIRNOFF COCONUT"",""750 ML"",,70,12,13.95,08/01/2020"
"""0376B"",,""GLENLIVET 12 YEAR OLD"",""750 ML"",""12 YRS"",80,12,51.95,08/01/2020"
"""0376E"",,""GLENLIVET 12 YEAR OLD"",""375 ML"",""12 YRS"",80,12,24.95,08/01/2020"
"""0376H"",,""GLENLIVET 12 YEAR OLD"",""1.75 L"",""12 YRS"",80,6,99.95,08/01/2020"
"""0379B"",,""GLENMORANGIE 18 YEAR OLD SCOTCH"",""750 ML"",""18 YRS"",86,6,115.95,08/01/2020"
"""0382B"",,""WARSHIP CARAMEL SPICE RUM"",""750 ML"",,100,12,24.95,08/01/2020"
"""0383B"",,""CHIVAS REGAL"",""750 ML"",,80,12,38.95,08/01/2020"
"""0383E"",,""CHIVAS REGAL"",""375 ML"",,80,12,19.95,08/01/2020"
"""0383H"",,""CHIVAS REGAL"",""1.75 L"",,80,6,69.95,08/01/2020"
"""0386B"",,""POWERS GOLD"",""750 ML"",,80,12,34.95,08/01/2020"
"""0387B"",,""SPEYBURN 10 YEAR SCOTCH BOTTLED SCOTLAND"",""750 ML"",""10 YRS"",80,6,29.95,08/01/2020"
"""0388B"",,""SCORESBY SCOTCH BLEND"",""750 ML"",,80,12,9.95,08/01/2020"
"""0388H"",,""SCORESBY SCOTCH BLEND"",""1.75 L"",,80,6,24.95,08/01/2020"
"""0390B"",,""BUSHMILLS IRISH"",""750 ML"",,80,12,28.95,08/01/2020"
"""0390E"",,""BUSHMILLS IRISH"",""375 ML"",,80,24,15.95,08/01/2020"
"""0390H"",,""BUSHMILLS IRISH"",""1.75 L"",,80,6,46.95,08/01/2020"
"""0391A"",,""JAMESON IRISH WHISKEY"",""LITER"",,80,12,36.95,08/01/2020"
"""0391B"",,""JAMESON IRISH WHISKEY"",""750 ML"",,80,12,29.95,08/01/2020"
"""0391D"",,""JAMESON IRISH WHISKEY"",""200 ML"",,80,24,8.95,08/01/2020"
"""0392B"",,""GLENFIDDICH SOLERA RESERVE SINGLE MALT"",""750 ML"",""15 YRS"",80,12,69.95,08/01/2020"
"""0393B"",,""BUSHMILLS SINGLE MALT"",""750 ML"",""10 YRS"",80,6,46.95,08/01/2020"
"""0394B"",,""TULLAMORE DEW"",""750 ML"",,80,12,29.95,08/01/2020"
"""0394E"",""@"",""TULLAMORE DEW"",""375 ML"",,80,12,14.95,08/01/2020"
"""0394H"",,""TULLAMORE DEW"",""1.75 L"",,80,6,54.95,08/01/2020"
"""0395B"",,""MR BOSTON APRICOT BRANDY"",""750 ML"",,70,12,9.95,08/01/2020"
"""0395E"",,""MR BOSTON APRICOT BRANDY"",""375 ML"",,70,24,5.95,08/01/2020"
"""0395H"",,""MR BOSTON APRICOT BRANDY"",""1.75 L"",,70,6,19.95,08/01/2020"
"""0398B"",,""WARSHIP SPICE RUM"",""750 ML"",,100,12,24.95,08/01/2020"
"""0399B"",,""KORBEL BRANDY"",""750 ML"",,80,12,12.95,08/01/2020"
"""0399H"",,""KORBEL BRANDY"",""1.75 L"",,80,6,29.95,08/01/2020"
"""0400B"",,""WARSHIP VANILLA SPICE RUM"",""750 ML"",,100,12,24.95,08/01/2020"
"""0402B"",,""LEJON BRANDY"",""750 ML"",,80,12,9.95,08/01/2020"
"""0402H"",,""LEJON BRANDY"",""1.75 L"",,80,6,21.95,08/01/2020"
"""0403B"",,""RAYNAL VSOP NAPOLEON"",""750 ML"",""10 YRS"",80,12,14.95,08/01/2020"
"""0405B"",,""MR BOSTON BLACKBERRY BRANDY"",""750 ML"",,70,12,9.95,08/01/2020"
"""0405E"",,""MR BOSTON BLACKBERRY BRANDY"",""375 ML"",,70,24,5.95,08/01/2020"
"""0405H"",,""MR BOSTON BLACKBERRY BRANDY"",""1.75 L"",,70,6,19.95,08/01/2020"
"""0409B"",,""E & J GALLO SUPERIOR RESERVE VSOP"",""750 ML"",,80,12,13.95,08/01/2020"
"""0409H"",,""E & J GALLO SUPERIOR RESERVE VSOP"",""1.75 L"",,80,6,27.95,08/01/2020"
"""0411B"",,""MONARCH BRANDY"",""750 ML"",,80,12,11.95,08/01/2020"
"""0411H"",,""MONARCH BRANDY"",""1.75 L"",,80,6,22.95,08/01/2020"
"""0412B"",,""CLEAR CREEK 8 YEAR"",""750 ML"",,80,6,49.95,08/01/2020"
"""0412E"",,""CLEAR CREEK 8 YEAR"",""375 ML"",,80,12,27.95,08/01/2020"
"""0412F"",,""CLEAR CREEK 8 YEAR"",""50 ML"",,80,120,5.00,08/01/2020"
"""0413B"",,""CLEAR CREEK APPLE BRANDY"",""750 ML"",""2 YRS"",80,12,34.95,08/01/2020"
"""0413E"",,""CLEAR CREEK APPLE BRANDY"",""375 ML"",""2 YRS"",80,12,19.95,08/01/2020"
"""0414B"",,""MR BOSTON PEACH BRANDY"",""750 ML"",,70,12,9.95,08/01/2020"
"""0415B"",,""MR BOSTON WILD CHERRY BRANDY"",""750 ML"",,70,12,9.95,08/01/2020"
"""0418B"",,""PAUL MASSON GRANDE AMBER"",""750 ML"",,80,12,12.95,08/01/2020"
