PROD #,RETAIL UPC,BRAND,TYPE,Supplier,Package,,,START,END,QUANTITY,REG.,DISC.,PROM.,UNIT,TYPE,COMMENTS
,,,,,Packs,Units,oz,DATE,DATE,,PRICE,,PRICE,COST,,
5012,726959902003,Boulevard Single Wide IPA,Bottle,Boulevard Brewing Co,4,6,12,10/30/2016,12/31/2016,1,$31.98,$3.22,$28.76,$7.1900,Original,
5011,726959901204,Boulevard Unfiltered Wheat,Bottle,Boulevard Brewing Co,4,6,12,10/30/2016,12/31/2016,1,$31.98,$3.22,$28.76,$7.1900,Original,
1421,080660956152,Corona Extra,Bottle,Constellation Brands,2,12,12,10/2/2016,12/31/2016,15,$27.05,$1.47,$25.58,$12.7900,Original,
1416,080660956954,Corona Extra,Can,Constellation Brands,2,12,12,10/2/2016,12/31/2016,15,$27.05,$1.47,$25.58,$12.7900,Original,
1411,080660956800,Corona Extra,Bottle,Constellation Brands,1,18,12,10/2/2016,12/31/2016,1,$22.09,$2.94,$19.15,$19.1500,Original,
1433,033544950029,Corona Extra,Can,Constellation Brands,1,18,12,10/2/2016,12/31/2016,1,$22.09,$2.94,$19.15,$19.1500,Original,
1426,080660956756,Corona Light,Bottle,Constellation Brands,2,12,12,10/2/2016,12/31/2016,15,$27.05,$1.47,$25.58,$12.7900,Original,
1430,080660956213,Corona Light,Can,Constellation Brands,2,12,12,10/2/2016,12/31/2016,15,$27.05,$1.47,$25.58,$12.7900,Original,
1431,080660956237,Corona Light,Bottle,Constellation Brands,1,18,12,10/2/2016,12/31/2016,1,$22.09,$2.94,$19.15,$19.1500,Original,
1427,080660956282,Corona Light,Bottle,Constellation Brands,1,24,12,10/2/2016,12/31/2016,1,$26.71,$2.01,$24.70,$24.7000,Original,
1447,080660957579,Modelo Especial,Bottle,Constellation Brands,2,12,12,10/2/2016,12/31/2016,15,$27.05,$1.47,$25.58,$12.7900,Original,
1450,080660957111,Modelo Especial,Can,Constellation Brands,1,18,12,10/2/2016,12/31/2016,1,$18.40,$0.82,$17.58,$17.5800,Original,
1439,080660957876,Negra Modelo,Bottle,Constellation Brands,2,12,12,10/2/2016,12/31/2016,15,$27.05,$1.47,$25.58,$12.7900,Original,
1436,080660953151,Pacifico,Bottle,Constellation Brands,2,12,12,10/2/2016,12/31/2016,15,$27.05,$1.47,$25.58,$12.7900,Original,
1225,082000762003,Smirnoff Hurricane Punch,Bottle,Diageo-Guinness Usa,4,6,11.2,10/2/2016,12/31/2016,1,$28.30,$4.32,$23.98,$5.9950,Original,
1177,082000725695,Smirnoff Ice,Bottle,Diageo-Guinness Usa,12,1,24,10/2/2016,12/31/2016,5,$23.83,$4.73,$19.10,$1.5917,Original,
1175,082000723851,Smirnoff Ice,Bottle,Diageo-Guinness Usa,4,6,11.2,10/2/2016,12/31/2016,1,$28.30,$4.32,$23.98,$5.9950,Original,
1217,082000766650,Smirnoff Ice,Can,Diageo-Guinness Usa,2,12,12,11/6/2016,11/19/2016,1,$25.58,$1.60,$23.98,$11.9900,Original,
1217,082000766650,Smirnoff Ice,Can,Diageo-Guinness Usa,2,12,12,12/4/2016,12/31/2016,1,$25.58,$1.60,$23.98,$11.9900,Original,
1210,082000732143,Smirnoff Ice Grape,Bottle,Diageo-Guinness Usa,4,6,11.2,10/2/2016,12/31/2016,1,$28.30,$4.32,$23.98,$5.9950,Original,
1205,082000729020,Smirnoff Ice Green Apple,Bottle,Diageo-Guinness Usa,12,1,24,10/2/2016,12/31/2016,5,$23.83,$4.73,$19.10,$1.5917,Original,
1204,082000727514,Smirnoff Ice Green Apple,Bottle,Diageo-Guinness Usa,4,6,11.2,10/2/2016,12/31/2016,1,$28.30,$4.32,$23.98,$5.9950,Original,
1194,082000762003,Smirnoff Ice Moscow Mule,Bottle,Diageo-Guinness Usa,4,6,11.2,10/2/2016,12/31/2016,1,$28.30,$4.32,$23.98,$5.9950,Original,
1213,082000729082,Smirnoff Ice Party Pack,Bottle,Diageo-Guinness Usa,2,12,11.2,10/9/2016,10/22/2016,1,$25.58,$1.60,$23.98,$11.9900,Original,
1213,082000729082,Smirnoff Ice Party Pack,Bottle,Diageo-Guinness Usa,2,12,11.2,11/13/2016,11/26/2016,1,$25.58,$1.60,$23.98,$11.9900,Original,
1213,082000729082,Smirnoff Ice Party Pack,Bottle,Diageo-Guinness Usa,2,12,11.2,12/18/2016,12/31/2016,1,$25.58,$1.60,$23.98,$11.9900,Original,
1203,082000766001,Smirnoff Ice Peach Bellini,Bottle,Diageo-Guinness Usa,4,6,11.2,10/2/2016,12/31/2016,1,$28.30,$4.32,$23.98,$5.9950,Original,
1191,082000762126,Smirnoff Ice Screwdriver,Bottle,Diageo-Guinness Usa,12,1,24,10/2/2016,12/31/2016,5,$23.83,$4.73,$19.10,$1.5917,Original,
1196,082000757481,Smirnoff Ice Screwdriver,Bottle,Diageo-Guinness Usa,4,6,11.2,10/2/2016,12/31/2016,1,$28.30,$4.32,$23.98,$5.9950,Original,
1290,082000762003,Smirnoff Ice Strawberry Bellini,Bottle,Diageo-Guinness Usa,4,6,11.2,10/2/2016,12/31/2016,1,$28.30,$4.32,$23.98,$5.9950,Original,
1198,082000773696,Smirnoff Ice Watermelon Mimosa,Bottle,Diageo-Guinness Usa,4,6,11.2,10/2/2016,12/31/2016,1,$28.30,$4.32,$23.98,$5.9950,Original,
1215,082000762003,Smirnoff Sparkling Pink Grapefruit,Bottle,Diageo-Guinness Usa,4,6,11.2,10/2/2016,12/31/2016,1,$28.30,$4.32,$23.98,$5.9950,Original,
8309,612620271120,Foothills Hop Job Session IPA,Bottle,Foothills Brewing,4,6,12,10/2/2016,10/29/2016,1,$31.98,$3.22,$28.76,$7.1900,Original,
8309,612620271120,Foothills Hop Job Session IPA,Bottle,Foothills Brewing,4,6,12,12/4/2016,12/31/2016,1,$31.98,$3.22,$28.76,$7.1900,Original,
8301,612620201127,Foothills Hoppyum IPA,Bottle,Foothills Brewing,4,6,12,10/2/2016,10/29/2016,1,$31.98,$3.22,$28.76,$7.1900,Original,
8301,612620201127,Foothills Hoppyum IPA,Bottle,Foothills Brewing,4,6,12,12/4/2016,12/31/2016,1,$31.98,$3.22,$28.76,$7.1900,Original,
8315,612620201134,Foothills Hoppyum IPA,Bottle,Foothills Brewing,2,12,12,11/6/2016,11/26/2016,1,$30.35,$3.17,$27.18,$13.5900,Original,
8315,612620201134,Foothills Hoppyum IPA,Bottle,Foothills Brewing,2,12,12,10/30/2016,11/5/2016,1,$30.35,$4.77,$25.58,$12.7900,Original,
8311,612620271137,Foothills Oktoberfest,Bottle,Foothills Brewing,2,12,12,11/6/2016,11/26/2016,1,$30.35,$3.17,$27.18,$13.5900,Original,
8311,612620271137,Foothills Oktoberfest,Bottle,Foothills Brewing,2,12,12,10/30/2016,11/5/2016,1,$30.35,$4.77,$25.58,$12.7900,Original,
8303,612620241123,Foothills People's Porter,Bottle,Foothills Brewing,4,6,12,10/2/2016,10/29/2016,1,$31.98,$3.22,$28.76,$7.1900,Original,
8303,612620241123,Foothills People's Porter,Bottle,Foothills Brewing,4,6,12,12/4/2016,12/31/2016,1,$31.98,$3.22,$28.76,$7.1900,Original,
8307,612620271120,Foothills Pilot Mountain Pale Ale,Bottle,Foothills Brewing,4,6,12,10/2/2016,10/29/2016,1,$31.98,$3.22,$28.76,$7.1900,Original,
8307,612620271120,Foothills Pilot Mountain Pale Ale,Bottle,Foothills Brewing,4,6,12,12/4/2016,12/31/2016,1,$31.98,$3.22,$28.76,$7.1900,Original,
8319,612620271137,Foothills Pilot Mountain Pale Ale,Bottle,Foothills Brewing,2,12,12,11/6/2016,11/26/2016,1,$30.35,$3.17,$27.18,$13.5900,Original,
8319,612620271137,Foothills Pilot Mountain Pale Ale,Bottle,Foothills Brewing,2,12,12,10/30/2016,11/5/2016,1,$30.35,$4.77,$25.58,$12.7900,Original,
8305,612620231124,Foothills Torch Pilsner,Bottle,Foothills Brewing,4,6,12,10/2/2016,10/29/2016,1,$31.98,$3.22,$28.76,$7.1900,Original,
8305,612620231124,Foothills Torch Pilsner,Bottle,Foothills Brewing,4,6,12,12/4/2016,12/31/2016,1,$31.98,$3.22,$28.76,$7.1900,Original,
4436,642860200246,Founders All Day IPA,Bottle,Founders Brewing Co,4,6,12,10/30/2016,11/5/2016,1,$33.00,$3.20,$29.80,$7.4500,Original,
4435,642860900245,Founders All Day IPA,Can,Founders Brewing Co,1,15,12,10/30/2016,11/5/2016,1,$16.70,$1.00,$15.70,$15.7000,Original,
4443,642860200253,Founders Azacca IPA,Bottle,Founders Brewing Co,4,6,12,10/30/2016,11/5/2016,1,$33.00,$3.20,$29.80,$7.4500,Original,
4405,642860200055,Founders Centennial IPA,Bottle,Founders Brewing Co,4,6,12,10/30/2016,11/5/2016,1,$33.00,$3.20,$29.80,$7.4500,Original,
4406,642860800057,Founders Centennial IPA,Can,Founders Brewing Co,2,12,12,10/30/2016,11/5/2016,1,$30.00,$3.20,$26.80,$13.4000,Original,
4411,642860200079,Founders Dirty Bastard,Bottle,Founders Brewing Co,4,6,12,10/30/2016,11/5/2016,1,$33.00,$3.20,$29.80,$7.4500,Original,
4439,642860800071,Founders Dirty Bastard,Can,Founders Brewing Co,2,12,12,10/30/2016,11/5/2016,1,$30.00,$3.20,$26.80,$13.4000,Original,
4423,642860200239,Founders Porter,Bottle,Founders Brewing Co,4,6,12,10/30/2016,11/5/2016,1,$33.00,$3.20,$29.80,$7.4500,Original,
4440,642860200505,Founders Rubaeus,Bottle,Founders Brewing Co,6,4,12,10/30/2016,11/5/2016,1,$52.30,$3.20,$49.10,$8.1833,Original,
4451,642860110262,Founders Rubaeus,Can,Founders Brewing Co,2,9,12,10/30/2016,11/5/2016,1,$30.00,$3.20,$26.80,$13.4000,Original,
1482,088573800029,Shiner Birthday Beer,Bottle,Gambrinus Co,4,6,12,10/30/2016,11/26/2016,1,$28.76,$1.60,$27.16,$6.7900,Original,
1482,088573800029,Shiner Birthday Beer,Bottle,Gambrinus Co,4,6,12,10/30/2016,11/26/2016,5,$28.76,$3.20,$25.56,$6.3900,Original,
1455,088573331011,Shiner Bock,Bottle,Gambrinus Co,4,6,12,10/30/2016,11/26/2016,1,$28.76,$1.60,$27.16,$6.7900,Original,
1455,088573331011,Shiner Bock,Bottle,Gambrinus Co,4,6,12,10/30/2016,11/26/2016,5,$28.76,$3.20,$25.56,$6.3900,Original,
1456,088573433333,Shiner Bock,Bottle,Gambrinus Co,2,12,12,10/2/2016,10/29/2016,1,$28.76,$3.18,$25.58,$12.7900,Original,
1456,088573433333,Shiner Bock,Bottle,Gambrinus Co,2,12,12,11/27/2016,12/31/2016,1,$28.76,$3.18,$25.58,$12.7900,Original,
1456,088573433333,Shiner Bock,Bottle,Gambrinus Co,2,12,12,10/2/2016,10/29/2016,5,$28.76,$4.78,$23.98,$11.9900,Original,
1456,088573433333,Shiner Bock,Bottle,Gambrinus Co,2,12,12,11/27/2016,12/31/2016,5,$28.76,$4.78,$23.98,$11.9900,Original,
1480,088573910018,Shiner Cream Ale,Bottle,Gambrinus Co,4,6,12,10/30/2016,11/26/2016,1,$28.76,$1.60,$27.16,$6.7900,Original,
1480,088573910018,Shiner Cream Ale,Bottle,Gambrinus Co,4,6,12,10/30/2016,11/26/2016,5,$28.76,$3.20,$25.56,$6.3900,Original,
1466,088573700022,Shiner Family Reunion,Bottle,Gambrinus Co,4,6,12,10/30/2016,11/26/2016,1,$28.76,$1.60,$27.16,$6.7900,Original,
1466,088573700022,Shiner Family Reunion,Bottle,Gambrinus Co,4,6,12,10/30/2016,11/26/2016,5,$28.76,$3.20,$25.56,$6.3900,Original,
1467,088573800029,Shiner Holiday Cheer,Bottle,Gambrinus Co,4,6,12,10/30/2016,11/26/2016,1,$28.76,$1.60,$27.16,$6.7900,Original,
1467,088573800029,Shiner Holiday Cheer,Bottle,Gambrinus Co,4,6,12,10/30/2016,11/26/2016,5,$28.76,$3.20,$25.56,$6.3900,Original,
1459,088573800029,Shiner Oktoberfest,Bottle,Gambrinus Co,4,6,12,10/30/2016,11/26/2016,1,$28.76,$1.60,$27.16,$6.7900,Original,
1459,088573800029,Shiner Oktoberfest,Bottle,Gambrinus Co,4,6,12,10/30/2016,11/26/2016,5,$28.76,$3.20,$25.56,$6.3900,Original,
1472,088573800029,Shiner Prickly Pear,Bottle,Gambrinus Co,4,6,12,10/30/2016,11/26/2016,1,$28.76,$1.60,$27.16,$6.7900,Original,
1472,088573800029,Shiner Prickly Pear,Bottle,Gambrinus Co,4,6,12,10/30/2016,11/26/2016,5,$28.76,$3.20,$25.56,$6.3900,Original,
