ItemName,Warehouse,CaseUPC,PackUPC,RetailUPC,UnitUPC,ItemKey,
12 MEZZACORONA CAB SAUV 1.5LT,All warehouses,,, 08724188111 7, 08724188111 7,2875,                                    
12 MEZZACORONA MERLOT 750ML,All warehouses,,, 08724188112 4, 08724188112 4,2880,                                      
12 MEZZACORONA MERLOT MAG,All warehouses,,, 08724188115 5, 08724188115 5,2890,                                        
12 PEJU CABERNET 750ML,All warehouses,,,,,1004,                                                                       
12 PEJU TESS RED BLEND,All warehouses,,,,,1002,                                                                       
12 PENNINO ZINFANDEL 6PK750ML,All warehouses,,,,,195,                                                                 
12 PIERRE SPARR PINOT GRIS 750ML,All warehouses,,, 09787100080 2, 09787100080 2,2622,                                 
12 PITAGORA RED BLEND,All warehouses,,,7 39958 12770 4,7 39958 12770 4,775,                                           
12 PONZI ROSE 750ML,All warehouses,,, 01185204941 3, 01185204941 3,3464,                                              
12 RIGHETTI VALPOLICELLA 750ML,All warehouses,,, 63975400004 4,63975400004 4,2959,                                    
12 ROTH CHARDONNAY,All warehouses,,, 08678549100 4, 08678549100 4,2133,                                               
12 ROYAL TOKAJ MAD CUVEE 12 PK,All warehouses,,,69491000315 8,69491000315 8,2147,                                     
12 SANTE CHARDONNAY REST PACK,All warehouses,,, 08068672740 8, 08068672740 8,2516,                                    
12 SAUVION MUSCADET 750ML,All warehouses,,,8636860633,8636860633,5000,                                                
12 SCHILD ESTATE SHIRAZ 750ML,All warehouses,,, 08175305602, 08175305602,2000,                                        
12 SCHRAMS BLANC DE BLANC 750ML,All warehouses,,, 01985511200 4, 01985511200 4,4449,                                  
12 SCHRAMSBERG BLANC DE BLANC 375ML,All warehouses,,,0 19855 11100 7,0 19855 11100 7,4442,                            
12 SILVERADO CABERNET 750ML,All warehouses,,, 08841787037 9, 08841787037 9,805,                                       
12 SILVERADO CHARDONNAY,All warehouses,,, 08841788017 0, 08841788017 0,809,                                           
12 SILVERADO GEO 6PK,All warehouses,,,088417870874,088417870874,817,                                                  
12 SILVERADO MERLOT 750ML,All warehouses,,, 08841787047 8, 08841787047 8,811,                                         
12 STAGS LEAP ARTEMIS CABERNET 750ML,All warehouses,,, 08859370020 0, 08859370020 0,1160,                             
12 STAGS LEAP FAY 6PK,All warehouses,,,0000000000000,0000000000000,1144,                                              
12 STAGS LEAP HANDS OF TIME RED BLEND,All warehouses,,, 08859330005 9, 08859330005 9,1180,                            
12 STAGS LEAP SLV 6PK 750ML,All warehouses,,, 0 8859375004 5, 0 8859375004 5,1141,                                    
12 STEFANO FARINA DOLCETTO 750ML,All warehouses,,, 80083660006 5, 80083660006 5,2630,                                 
12 STEMMARI NERO D'AVOLA 750ML,All warehouses,,, 85455900022 2,85455900022 2,3286,                                    
12 UNO CABERNET,All warehouses,,, 0166753     0, 0166753     0,3880,                                                  
12 YELLOW TAIL RES SHIRAZ 750ML,All warehouses,,, 03125901158 5, 03125901158 5,2335,                                  
12 YELLOW TAIL RESERVE CAB 750ML,All warehouses,,, 03125901474 6, 03125901474 6,2341,                                 
13 BOUCHAINE CHARDONNAY 750ML,All warehouses,,,0 89569 13198 1,0 89569 13198 1,841,                                   
